date,donations,is_holiday,holiday_name,is_outlier,is_mco
2007-05-12,542,0,Non-Holiday,0,0
2007-05-13,1705,0,Non-Holiday,0,0
2007-05-14,600,0,Non-Holiday,0,0
2007-05-15,665,0,Non-Holiday,0,0
2007-05-16,444,0,Non-Holiday,0,0
2007-05-17,588,0,Non-Holiday,0,0
2007-05-18,520,0,Non-Holiday,0,0
2007-05-19,813,0,Non-Holiday,0,0
2007-05-20,1005,0,Non-Holiday,0,0
2007-05-21,442,0,Non-Holiday,0,0
2007-05-22,474,0,Non-Holiday,0,0
2007-05-23,749,0,Non-Holiday,0,0
2007-05-24,613,0,Non-Holiday,0,0
2007-05-25,854,0,Non-Holiday,0,0
2007-05-26,637,0,Non-Holiday,0,0
2007-05-27,614,0,Non-Holiday,0,0
2007-05-28,397,0,Non-Holiday,0,0
2007-05-29,469,0,Non-Holiday,0,0
2007-05-30,423,0,Non-Holiday,0,0
2007-05-31,736,0,Non-Holiday,0,0
2007-06-01,437,0,Non-Holiday,0,0
2007-06-02,459,0,Non-Holiday,0,0
2007-06-03,652,0,Non-Holiday,0,0
2007-06-04,381,0,Non-Holiday,0,0
2007-06-05,648,0,Non-Holiday,0,0
2007-06-06,753,0,Non-Holiday,0,0
2007-06-07,1051,0,Non-Holiday,0,0
2007-06-08,790,0,Non-Holiday,0,0
2007-06-09,622,0,Non-Holiday,0,0
2007-06-10,1477,0,Non-Holiday,0,0
2007-06-11,558,0,Non-Holiday,0,0
2007-06-12,575,0,Non-Holiday,0,0
2007-06-13,879,0,Non-Holiday,0,0
2007-06-14,572,0,Non-Holiday,0,0
2007-06-15,610,0,Non-Holiday,0,0
2007-06-16,614,0,Non-Holiday,0,0
2007-06-17,1307,0,Non-Holiday,0,0
2007-06-18,483,0,Non-Holiday,0,0
2007-06-19,421,0,Non-Holiday,0,0
2007-06-20,800,0,Non-Holiday,0,0
2007-06-21,727,0,Non-Holiday,0,0
2007-06-22,579,0,Non-Holiday,0,0
2007-06-23,695,0,Non-Holiday,0,0
2007-06-24,1018,0,Non-Holiday,0,0
2007-06-25,406,0,Non-Holiday,0,0
2007-06-26,598,0,Non-Holiday,0,0
2007-06-27,648,0,Non-Holiday,0,0
2007-06-28,577,0,Non-Holiday,0,0
2007-06-29,399,0,Non-Holiday,0,0
2007-06-30,336,0,Non-Holiday,0,0
2007-07-01,885,0,Non-Holiday,0,0
2007-07-02,499,0,Non-Holiday,0,0
2007-07-03,462,0,Non-Holiday,0,0
2007-07-04,869,0,Non-Holiday,0,0
2007-07-05,711,0,Non-Holiday,0,0
2007-07-06,1225,0,Non-Holiday,0,0
2007-07-07,1311,0,Non-Holiday,0,0
2007-07-08,1257,0,Non-Holiday,0,0
2007-07-09,538,0,Non-Holiday,0,0
2007-07-10,1135,0,Non-Holiday,0,0
2007-07-11,1332,0,Non-Holiday,0,0
2007-07-12,1374,0,Non-Holiday,0,0
2007-07-13,1164,0,Non-Holiday,0,0
2007-07-14,607,0,Non-Holiday,0,0
2007-07-15,890,0,Non-Holiday,0,0
2007-07-16,463,0,Non-Holiday,0,0
2007-07-17,1316,0,Non-Holiday,0,0
2007-07-18,801,0,Non-Holiday,0,0
2007-07-19,945,0,Non-Holiday,0,0
2007-07-20,679,0,Non-Holiday,0,0
2007-07-21,920,0,Non-Holiday,0,0
2007-07-22,908,0,Non-Holiday,0,0
2007-07-23,665,0,Non-Holiday,0,0
2007-07-24,1207,0,Non-Holiday,0,0
2007-07-25,831,0,Non-Holiday,0,0
2007-07-26,1234,0,Non-Holiday,0,0
2007-07-27,657,0,Non-Holiday,0,0
2007-07-28,1321,0,Non-Holiday,0,0
2007-07-29,649,0,Non-Holiday,0,0
2007-07-30,499,0,Non-Holiday,0,0
2007-07-31,767,0,Non-Holiday,0,0
2007-08-01,987,0,Non-Holiday,0,0
2007-08-02,772,0,Non-Holiday,0,0
2007-08-03,459,0,Non-Holiday,0,0
2007-08-04,1004,0,Non-Holiday,0,0
2007-08-05,1163,0,Non-Holiday,0,0
2007-08-06,474,0,Non-Holiday,0,0
2007-08-07,1097,0,Non-Holiday,0,0
2007-08-08,746,0,Non-Holiday,0,0
2007-08-09,817,0,Non-Holiday,0,0
2007-08-10,500,0,Non-Holiday,0,0
2007-08-11,748,0,Non-Holiday,0,0
2007-08-12,1195,0,Non-Holiday,0,0
2007-08-13,473,0,Non-Holiday,0,0
2007-08-14,676,0,Non-Holiday,0,0
2007-08-15,1082,0,Non-Holiday,0,0
2007-08-16,1097,0,Non-Holiday,0,0
2007-08-17,723,0,Non-Holiday,0,0
2007-08-18,929,0,Non-Holiday,0,0
2007-08-19,1041,0,Non-Holiday,0,0
2007-08-20,520,0,Non-Holiday,0,0
2007-08-21,1412,0,Non-Holiday,0,0
